-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.097,  0.247
-183.799, 80.187, 0.222,  0.280
-183.799, 80.176, 0.326,  0.313
-183.798, 80.162, 0.441,  0.346
-183.798, 80.143, 0.602,  0.379
-183.798, 80.116, 0.826,  0.412
-183.798, 80.080, 1.060,  0.445
-183.798, 80.038, 1.277,  0.478
-183.797, 79.989, 1.491,  0.511
-183.797, 79.934, 1.668,  0.544
-183.797, 79.875, 1.775,  0.577
-183.797, 79.814, 1.828,  0.610
-183.797, 79.753, 1.853,  0.643
-183.796, 79.692, 1.856,  0.676
-183.796, 79.631, 1.843,  0.709
-183.796, 79.571, 1.818,  0.742
-183.796, 79.512, 1.785,  0.775
-183.796, 79.455, 1.745,  0.808
-183.795, 79.399, 1.701,  0.841
-183.795, 79.344, 1.654,  0.874
-183.795, 79.292, 1.575,  0.907
-183.795, 79.242, 1.511,  0.940
-183.795, 79.194, 1.458,  0.973
-183.795, 79.147, 1.422,  1.006
-183.794, 79.101, 1.409,  1.039
-183.794, 79.053, 1.428,  1.072
-183.794, 79.005, 1.479,  1.105
-183.794, 78.953, 1.548,  1.138
-183.794, 78.899, 1.611,  1.171
-183.793, 78.844, 1.650,  1.204
-183.793, 78.788, 1.680,  1.237
-183.793, 78.732, 1.688,  1.270
-183.793, 78.676, 1.679,  1.303
-183.793, 78.621, 1.649,  1.336
-183.792, 78.567, 1.618,  1.369
-183.792, 78.514, 1.590,  1.402
-183.792, 78.462, 1.567,  1.435
-183.792, 78.410, 1.561,  1.468
-183.792, 78.358, 1.573,  1.501
-183.791, 78.305, 1.599,  1.534
-183.791, 78.250, 1.629,  1.567
-183.791, 78.195, 1.657,  1.600
-183.791, 78.139, 1.675,  1.633
-183.791, 78.083, 1.684,  1.666
-183.790, 78.027, 1.686,  1.699
-183.790, 77.971, 1.682,  1.732
